video_id,video_title,valid_windows,audio_length
-6pBy6IYqLM,Namely You,"[[0.0, 69.2], [95.6, 197.0]]",198.113
1_ULzc0GvJI,Blues For Philly Joe (Remastered),"[[0.0, 175.2], [303.0, 401.6]]",404.12
3Pmif4QeEg0,Art Pepper - Straight Life (Official Visualizer),[],242.3
3RJW6kJzB-Q,Indiana,"[[0.0, 154.2], [193.4, 277.6]]",289.646
3RShrYcbCxs,Art Pepper - Waltz Me Blues (Official Visualizer),"[[114.8, 158.2]]",178.143
4OripwqLlAE,Dexter Gordon - Broadway,"[[5.2, 261.2], [338.0, 402.6]]",404.793
6wcErvs_Dlk,Toy,"[[120.6, 151.0]]",306.596
7GRG7HNDct8,If I Should Lose You (Remastered 1999/Rudy Van Gelder Edition),"[[0.0, 175.8], [241.2, 307.8]]",310.52
7kV9YWFTdi8,Art Pepper - Red Pepper Blues (Official Visualizer),"[[13.6, 61.0]]",219.22
7RRxiUw6bkk,Impressions,"[[0.0, 382.6]]",390.072
8iJ7ADW-u30,Sound Off,"[[47.2, 220.4], [242.4, 320.8], [321.0, 355.0]]",364.6
76vtIhSIlI0,Dig Dis (Remastered 1999/Rudy Van Gelder Edition),"[[35.8, 244.6], [314.6, 367.4]]",369.36
79MyIyk5g38,The Way You Look Tonight (Remastered 2006/Rudy Van Gelder Edition),"[[0.0, 194.2], [275.6, 352.6]]",379.878
93dmFfZppuI,There Is No Greater Love (Remastered/2000),"[[173.6, 361.0], [459.6, 490.4]]",507.635
a9HP9p3GXg8,Cheese Cake (Rudy Van Gelder Edition / Remastered 1999),"[[5.8, 198.4], [249.2, 385.0]]",393.718
AGcNDSjCceY,I Can't Believe That You're In Love With Me,"[[0.0, 136.8], [187.0, 317.0]]",317.115
AKBxUGIFQYo,Know What I Mean? ((Take 12)),"[[108.2, 201.2], [261.6, 306.0], [372.4, 404.8]]",421.79
auOuG2Cw0ak,If I Should Lose You,"[[0.0, 66.2], [120.0, 247.2], [323.6, 393.8]]",395.389
a_XtFZP8We4,Art Pepper - Star Eyes (Official Visualizer),"[[10.8, 108.8], [199.2, 241.8], [276.8, 309.6]]",316.813
BEQZmgRWq6M,Art Pepper - Jazz Me Blues (Official Visualizer),"[[9.4, 74.8], [200.2, 231.4]]",289.971
BhHxO1ElbQw,Au Privave,"[[60.8, 116.2]]",234.359
C2XqprT5OfM,Just In Time (Remastered/2000),"[[2.8, 183.6], [248.2, 321.6]]",341.96
C6LhuZFP9L8,Landslide (Rudy Van Gelder Edition/2004 Remaster),"[[0.0, 138.6], [247.8, 313.0]]",315.35
cdypFcOh2iI,Number Four,"[[0.0, 127.8], [154.4, 186.2], [240.2, 295.8]]",295.915
DFwc-PLPMW8,Art Pepper - Imagination Meets The Rhythm Section (Official Visualizer),"[[6.8, 175.4], [323.8, 355.0]]",355.149
-DHuW1h1wHw,"Dave Brubeck, The Dave Brubeck Quartet - Take Five (Audio)","[[17.0, 87.0], [257.8, 289.6]]",325.637
dJqkN1w0fFg,Cannonball Adderley and Bill Evans - Waltz for Debby  1961,"[[62.4, 242.0], [271.6, 310.2]]",316.0
DpgGIwvwpn8,Impressions,"[[0.0, 102.0]]",106.324
dTFg-haHIBc,I Want More,"[[0.0, 180.6], [254.4, 318.0]]",320.319
fK9CiB1Tu24,Yes Or No (Rudy Van Gelder 24 Bit Mastering/1999 Digital Remaster),"[[0.0, 224.6], [314.8, 389.2]]",399.43
