video_id,video_title,valid_windows,audio_length
-lI-IqSxCHo,Dexter Gordon - I Guess I'll Hang My Tears Out To Dry,"[[0.2, 232.8], [254.0, 320.0]]",322.13
-mZ54FJ6h-k,John Coltrane - Impressions (Complete),"[[7.4, 167.8], [172.6, 209.2], [227.0, 262.2], [342.0, 397.4], [407.6, 887.6]]",900.923
-wfjv70e6PE,Summertime (Bonus Track),"[[0.2, 229.2], [587.0, 686.2]]",695.667
-wLIfrdkzeM,It's Easy To Remember (Take 7),"[[0.2, 150.0]]",165.893
-YbgB5stEb4,It's Easy To Remember (Take 11),"[[0.2, 87.2], [90.6, 137.6]]",157.853
03juO5oS2gg,John Coltrane Quartet - Impressions.,"[[0.2, 31.4], [571.0, 836.0]]",845.38
0GpoOLJvlIw,Art Pepper Quartet - I Surrender Dear,"[[8.0, 168.4], [233.4, 325.8]]",338.373
2HuEnifm23w,All Or Nothing At All (Take 2),"[[49.6, 192.0]]",221.707
2R0FHWXycPs,Stan Getz Quartet - The Lady in Red,"[[0.2, 197.0]]",205.276
2r6ust9UrkY,Big Nick (Bonus Track),"[[0.2, 42.4], [80.2, 190.4], [196.4, 245.2]]",247.667
3Pmif4QeEg0,Art Pepper - Straight Life (Official Visualizer),[],242.3
3RShrYcbCxs,Art Pepper - Waltz Me Blues (Official Visualizer),[],178.143
4UWEokROFq0,Nancy (With the Laughing Face),"[[0.2, 186.4]]",190.733
4WJs17NZsgU,Wabash,"[[9.0, 86.2], [108.6, 216.0], [301.4, 345.0]]",346.8
4yp4EybwaI4,In Your Own Sweet Way,"[[0.2, 249.2], [366.6, 482.6]]",485.227
5eHMr2k2faE,Nancy,"[[30.8, 186.4]]",190.851
61jU-SHZGtE,Art Pepper Quartet - Blues at Twilight,"[[0.2, 100.6], [168.2, 237.6]]",246.875
6pV87x6vId0,Stan Getz Quartet - Wrap Your Troubles in Dreams,"[[0.2, 97.0], [105.2, 185.2]]",194.456
6r-X7L-1CVs,Stan Getz Bop Stars - Crazy Chords,"[[2.2, 66.4], [100.4, 156.8]]",165.059
76F4bvPBPBw,Stan Getz Quartet - My Old Flame,"[[0.2, 163.6]]",173.778
7dvYY6p5T2s,It's Easy To Remember (Take 9),"[[3.0, 111.4], [154.6, 206.0]]",224.68
7kV9YWFTdi8,Art Pepper - Red Pepper Blues (Official Visualizer),[],219.208
7RRxiUw6bkk,Impressions,"[[0.2, 192.4], [195.2, 256.8], [265.0, 384.4]]",390.107
7ZEJtqqiKlg,Gunga Din,"[[0.2, 190.4], [289.0, 331.4], [357.4, 417.4]]",422.627
8aq5EVhEMnE,Limehouse Blues,"[[3.0, 77.0], [102.2, 144.4], [201.8, 244.8]]",280.227
8MLzEpzIhAY,Stan Getz Quartet - I've Got You Under My Skin,"[[0.2, 104.2], [124.8, 197.2]]",205.462
a9HP9p3GXg8,Cheese Cake (Rudy Van Gelder Edition / Remastered 1999),"[[5.2, 198.4], [248.6, 386.0]]",393.747
aF6sCJFK7co,Greensleeves (Take 5),"[[8.4, 103.6], [159.2, 212.4]]",223.72
AHPTERRrGzA,Too Young To Go Steady,"[[0.2, 138.0], [177.8, 259.2]]",259.813
a_XtFZP8We4,Art Pepper - Star Eyes (Official Visualizer),"[[14.0, 56.4], [58.0, 102.4], [222.2, 268.0]]",316.801
BEQZmgRWq6M,Art Pepper - Jazz Me Blues (Official Visualizer),"[[14.2, 73.6]]",289.971
BNWF4ZUAxeM,Art Pepper Quartet - Pepper Pot,"[[0.2, 177.6], [231.4, 303.0]]",311.716
cFlMFceFc5Q,Love Thy Neighbor (Bonus Track),[],564.693
Cjlm1Wug_lw,Stan Getz Bop Stars - Long Island Sound,"[[3.2, 182.4]]",185.597
DFwc-PLPMW8,Art Pepper - Imagination Meets The Rhythm Section (Official Visualizer),"[[9.0, 174.0]]",355.138
dJqkN1w0fFg,Cannonball Adderley and Bill Evans - Waltz for Debby  1961,"[[62.2, 243.0], [272.4, 310.8]]",316.047
dKsWT4TeJH4,John Coltrane Quartet - The Inch Worm,"[[16.0, 372.0]]",376.384
dtRhloSJRO4,Stan Getz Bop Stars - Indian Summer,"[[2.2, 169.4]]",178.817
DZtWGbDKyjs,It's Easy To Remember (Take 4),"[[42.8, 98.2], [113.2, 146.2]]",164.547
EeMMLPZEXTM,All Or Nothing At All,"[[34.8, 182.4]]",215.04
EfSOBSaNlBU,It's Easy To Remember (Take 2),"[[3.8, 122.8], [173.8, 262.2]]",280.267
EmirvoJ0ogM,House Of Jade,"[[0.2, 109.2], [119.8, 154.6], [161.8, 336.2]]",340.0
ErN8VHNXQcs,Say It (Over and Over Again),"[[0.2, 120.4], [166.6, 234.2]]",258.8
eszHPMJkd2s,Stars Fell On Alabama,"[[32.0, 201.6], [282.2, 359.0]]",374.84
FnWXeL1o4NE,Wait Till You See Her,"[[1.6, 162.4], [223.4, 354.0]]",366.36
fPN0kqkhWqk,Greensleeves (Take 4),"[[8.0, 86.4], [139.0, 208.0]]",226.907
FpodsvComjo,All or Nothing At All,"[[37.2, 127.2], [131.4, 168.6]]",219.115
fQ9Y0oS0lyo,John Coltrane Quartet - Out Of This World,"[[10.4, 108.0], [154.8, 208.4], [220.0, 254.2], [613.4, 653.4], [705.0, 756.2], [762.8, 831.4]]",855.052
ghZnGWJv1yk,It's Easy to Remember,"[[41.2, 92.2], [101.0, 144.2]]",169.273
GoYAGNLqFwg,John Coltrane Quartet - Soul Eyes,"[[0.2, 82.0], [196.8, 317.6]]",334.1
gzVxLnws6Mg,Where Are You? (Rudy Van Gelder Edition / Remastered 1999),"[[0.2, 234.0], [253.0, 315.0]]",321.373
H0PaJYcOFhU,Stan Getz Bop Stars - Mar-Cia,"[[0.2, 85.0], [112.6, 162.6]]",170.725
HilrtxXtw2c,Stan Getz Quartet - What's New?,"[[0.2, 199.2]]",210.419
hkyJQcmVtZQ,Dexter Gordon - Cheese Cake,"[[5.4, 198.4], [248.8, 386.2]]",393.903
iu3j7FLJHow,Time After Time (Bonus Track),"[[22.0, 189.8], [350.4, 456.0]]",465.067
iUzqQ-FSLtg,Art Pepper Quartet - Diane,"[[0.2, 210.4]]",223.097
J6BkV37OQK0,Miles' Mode / John Coltrane,[],455.134
JQyCg-HJhZw,Art Pepper - Birks Works (Official Visualizer),"[[70.8, 109.2]]",260.609
Jw3S14Wm_I0,You're A Weaver Of Dreams,"[[2.4, 180.4], [246.0, 323.6]]",334.64
k1NzEr3g9_A,Greensleeves,"[[8.6, 107.2]]",218.107
k5Z0f5M63Qw,Like Someone In Love,"[[3.4, 198.8], [292.4, 369.6]]",372.267
kRsK21Lgy7o,You Don't Know What Love Is,"[[0.2, 308.6]]",315.067
lJ2AzGQ8CWI,Say It,"[[0.6, 91.8], [168.4, 232.6]]",258.377
LK4Y1D7M-SE,It's Easy To Remember (Take 13),"[[0.2, 139.2]]",161.773
